,fg,3p,ft,reb,ast,stl,blk,tov,target_5yrs,total_point,efficiency
35,40.0,35.7,83.3,2.0,1.1,0.8,0.1,1.1,1,357.0,0.45698924731182794
36,37.0,14.5,74.1,1.7,3.8,0.7,0.1,1.2,1,451.0,0.2989130434782609
37,39.0,23.1,74.5,2.0,3.2,1.1,0.1,1.5,1,448.0,0.4117647058823529
38,52.9,0.0,69.1,4.2,0.4,0.6,0.8,1.1,1,592.0,0.43786982248520717
39,46.7,21.4,81.0,3.8,0.4,0.3,0.6,0.9,1,431.2,0.3708609271523179
40,41.7,37.5,76.1,1.5,1.5,0.7,0.2,0.8,0,225.49999999999997,0.2751677852348993
41,40.7,9.5,80.4,1.7,2.1,0.9,0.0,1.3,0,244.79999999999998,0.34459459459459457
42,39.9,27.0,87.5,1.5,2.8,0.9,0.0,1.4,0,255.0,0.3448275862068966
43,40.2,36.7,76.9,2.1,0.8,0.3,0.2,0.7,0,198.9,0.29545454545454547
44,42.3,0.0,80.3,1.3,1.9,0.6,0.1,1.3,1,331.2,0.3709677419354838
45,45.2,100.0,82.1,2.7,0.6,0.5,0.3,0.6,1,248.4,0.30508474576271183
46,56.8,0.0,66.1,3.4,0.3,0.6,0.7,0.8,1,307.8,0.504424778761062
47,30.3,36.6,66.7,0.7,1.5,0.7,0.1,1.3,0,98.39999999999999,0.38679245283018865
48,41.5,19.2,75.4,1.1,1.8,0.6,0.1,1.0,1,204.99999999999997,0.4270833333333333
49,45.6,0.0,65.5,1.2,1.1,0.6,0.2,0.8,1,190.4,0.3541666666666667
50,38.8,29.2,75.6,0.7,1.4,0.4,0.1,1.0,0,247.9,0.41111111111111115
51,38.0,14.3,65.9,0.8,1.6,0.7,0.1,1.0,1,125.0,0.2873563218390805
52,47.5,0.0,75.0,1.5,0.3,0.2,0.2,0.6,1,121.50000000000001,0.31764705882352945
53,36.8,22.2,82.6,0.9,0.7,0.3,0.1,0.6,0,129.2,0.41463414634146345
54,43.9,0.0,52.5,1.9,0.3,0.1,0.1,0.8,0,117.6,0.34146341463414637
55,45.6,18.8,74.4,1.3,0.6,0.2,0.1,0.5,0,172.8,0.39024390243902446
56,39.2,20.0,53.6,1.2,0.6,0.4,0.2,0.8,0,140.0,0.547945205479452
57,44.3,18.2,81.0,1.1,0.3,0.2,0.1,0.5,0,103.6,0.3835616438356164
58,43.1,27.0,52.6,0.8,0.5,0.2,0.0,0.3,0,119.60000000000001,0.3880597014925373
59,38.4,43.3,83.3,0.8,0.3,0.1,0.0,0.3,0,112.2,0.34375
60,38.0,0.0,75.6,1.2,0.3,0.1,0.1,0.5,0,88.0,0.4150943396226416
61,37.8,0.0,37.5,1.0,0.4,0.3,0.2,0.3,0,30.400000000000002,0.33333333333333337
62,35.3,11.8,66.7,0.6,0.6,0.1,0.0,0.5,0,46.800000000000004,0.3023255813953489
63,42.2,27.3,73.6,8.8,4.0,1.4,1.1,2.9,1,1422.0,0.47745358090185674
64,30.4,20.4,74.5,1.2,0.5,0.7,0.1,0.7,0,187.0,0.2595419847328244
65,46.7,34.2,73.1,10.3,2.2,1.0,1.3,2.9,1,1361.6,0.5227272727272726
66,40.6,36.5,77.0,2.8,4.0,1.3,0.2,2.5,0,915.2,0.42686567164179107
67,42.5,37.4,75.0,2.9,1.6,0.8,0.3,1.6,1,1287.3999999999999,0.5508771929824561
68,45.0,7.7,71.1,3.0,6.4,2.0,0.2,2.2,1,590.4,0.26277372262773724
69,51.2,0.0,72.2,7.9,0.3,0.6,1.5,0.9,1,575.1,0.27413127413127414
70,44.1,13.3,78.2,3.4,1.4,0.9,0.3,1.9,1,912.0,0.4724409448818898
71,46.4,20.6,87.3,2.2,4.2,1.0,0.2,1.7,0,713.4,0.36708860759493667
72,46.4,20.6,87.3,2.2,4.2,1.0,0.2,1.7,1,713.4,0.36708860759493667
73,32.7,21.4,64.9,0.8,1.7,0.5,0.1,0.6,0,93.1,0.20652173913043478
74,32.7,21.4,64.9,0.8,1.7,0.5,0.1,0.6,1,93.1,0.20652173913043478
75,45.0,14.3,83.5,3.2,3.7,1.3,0.5,2.0,1,902.0,0.4641350210970464
76,50.8,0.0,63.6,5.1,0.9,0.6,1.9,1.3,1,524.4,0.3053097345132743
77,41.3,24.0,85.7,1.8,3.1,0.8,0.1,1.6,1,944.6999999999999,0.6266666666666667
78,43.9,9.7,70.7,2.1,2.5,0.4,0.2,1.6,0,616.0,0.4271844660194175
79,42.8,29.9,81.6,3.5,1.8,0.5,0.3,1.5,1,696.6,0.4195121951219512
80,49.7,40.0,84.3,3.3,1.4,0.6,0.3,0.9,1,237.6,0.36923076923076925
81,41.7,0.0,55.0,5.6,0.4,0.6,1.2,0.9,0,307.4,0.27461139896373055
82,41.9,25.0,79.6,1.7,1.3,0.3,0.1,1.0,0,504.0,0.42603550295857995
83,41.2,17.6,74.7,1.9,2.8,0.8,0.1,1.2,1,401.8,0.296969696969697
84,38.0,29.2,77.3,1.9,1.2,0.5,0.1,1.2,0,427.8,0.425925925925926
85,42.5,0.0,67.2,4.3,0.4,0.2,0.3,1.4,0,483.6,0.3850931677018633
86,48.7,0.0,66.2,4.8,0.5,0.3,0.3,0.7,1,401.5,0.3416149068322981
87,49.2,0.0,63.2,5.2,0.3,0.5,0.4,1.0,1,392.2,0.3291925465838509
88,42.1,29.8,63.0,2.9,0.8,0.6,0.3,0.9,0,509.2,0.43506493506493504
89,46.5,0.0,71.2,4.2,0.6,0.6,0.5,0.8,1,313.5,0.3825503355704698
90,44.6,18.2,58.8,1.5,2.8,0.7,0.2,1.6,0,263.2,0.39160839160839156
91,44.1,40.0,72.2,2.1,0.9,0.4,0.1,1.0,1,299.7,0.5955882352941176
92,46.5,0.0,64.4,2.7,0.6,0.2,0.2,1.0,0,266.59999999999997,0.3233082706766917
93,38.4,16.1,80.5,1.0,1.3,0.5,0.1,0.9,0,241.79999999999998,0.312
94,43.8,11.8,68.4,2.0,0.8,0.6,0.2,0.8,0,351.90000000000003,0.5798319327731093
95,41.3,0.0,55.6,1.4,1.0,0.4,0.0,0.8,1,140.4,0.33050847457627114
96,41.6,25.0,65.2,1.9,0.7,0.5,0.2,0.3,1,229.4,0.26724137931034486
97,48.7,16.7,66.3,2.4,0.6,0.3,0.1,1.1,1,516.5999999999999,0.7068965517241379
98,34.8,27.3,64.3,2.2,0.8,0.5,0.2,0.3,0,72.60000000000001,0.20370370370370372
99,46.0,0.0,68.9,2.8,0.7,0.2,0.4,0.8,1,237.60000000000002,0.3928571428571429
100,40.8,27.8,73.2,1.1,1.2,0.5,0.1,0.7,0,277.4,0.34545454545454546
101,40.4,0.0,66.7,3.0,0.2,0.3,0.3,0.7,0,54.0,0.3302752293577982
102,44.1,0.0,70.2,1.1,2.1,0.4,0.2,1.1,1,236.8,0.3394495412844037
103,41.5,0.0,80.0,0.8,1.9,0.5,0.1,0.8,0,190.4,0.32075471698113206
104,39.1,0.0,69.6,1.2,1.0,0.3,0.1,0.8,0,204.8,0.30188679245283023
105,41.8,33.3,90.5,0.8,1.9,0.5,0.0,0.6,1,210.8,0.3069306930693069
106,40.3,37.5,75.8,1.4,0.7,0.3,0.0,0.5,0,136.29999999999998,0.29
107,44.7,50.0,66.1,2.1,0.3,0.2,0.1,0.8,1,182.0,0.3571428571428571
108,40.0,40.0,77.8,1.0,0.4,0.3,0.2,0.5,0,236.8,0.38947368421052636
109,36.7,0.0,44.4,1.9,0.5,0.1,0.1,0.7,0,98.6,0.2685185185185185
110,43.9,0.0,55.0,2.9,0.4,0.1,0.7,0.8,1,159.6,0.39999999999999997
111,45.8,15.8,84.8,1.3,0.7,0.2,0.0,1.0,1,225.0,0.48387096774193544
112,45.5,0.0,65.3,1.8,0.2,0.2,0.7,0.3,1,145.6,0.3835616438356164
113,52.0,0.0,68.0,1.7,0.4,0.1,0.4,0.6,0,217.5,0.41428571428571426
114,42.0,24.0,48.0,1.7,0.5,0.4,0.3,0.3,1,85.80000000000001,0.3235294117647059
115,51.0,50.0,71.4,1.9,0.3,0.2,0.3,0.5,1,127.5,0.3787878787878788
116,37.3,0.0,54.5,1.5,0.1,0.1,0.1,0.1,0,67.60000000000001,0.20967741935483872
117,51.3,0.0,90.5,1.2,0.2,0.1,0.1,0.1,1,58.5,0.25862068965517243
118,53.1,0.0,73.2,12.0,2.0,1.7,3.9,3.1,1,1992.6000000000001,0.6639344262295082
119,35.3,25.8,55.2,1.4,0.4,0.3,0.1,0.2,0,105.39999999999999,0.31775700934579443
120,47.1,27.4,76.4,3.9,8.7,2.1,0.1,3.3,0,1161.3,0.43620178041543023
121,47.1,27.4,76.4,3.9,8.7,2.1,0.1,3.3,1,1161.3,0.43620178041543023
122,44.0,0.0,66.4,8.4,1.2,1.1,0.7,2.1,1,910.1999999999999,0.33035714285714285
123,46.1,27.7,58.9,2.6,6.8,1.6,0.3,1.7,1,934.8000000000001,0.3619047619047619
124,49.4,16.1,68.7,2.5,7.6,1.8,0.1,3.0,1,1158.3,0.46885245901639344
125,44.6,0.0,76.8,5.8,1.1,0.8,0.7,1.2,1,1016.0,0.4205298013245033
126,43.9,24.6,73.4,4.6,1.8,0.9,0.3,1.5,1,1047.2,0.4533333333333333
127,43.9,24.6,73.4,4.6,1.8,0.9,0.3,1.5,0,1047.2,0.4533333333333333
128,37.1,22.5,77.8,2.8,4.2,1.6,0.3,2.2,1,505.0,0.3992094861660079
129,48.1,11.1,86.6,3.7,1.9,0.6,0.2,1.4,1,810.0,0.398406374501992
130,50.7,30.0,71.9,3.1,1.8,0.9,0.4,1.9,1,729.8000000000001,0.3869565217391305
131,44.9,13.3,57.4,2.9,0.3,0.2,0.4,0.4,0,185.0,0.34905660377358494
132,49.4,5.9,70.5,3.9,1.5,0.8,0.4,1.7,1,931.5,0.5227272727272727
133,50.4,0.0,72.7,4.7,1.1,0.5,0.7,1.4,1,729.8000000000001,0.4101382488479263
134,40.5,39.9,80.9,1.6,2.5,0.7,0.0,1.5,1,785.6999999999999,0.48258706467661683
135,41.1,13.3,70.5,2.3,0.6,0.6,0.2,0.7,0,434.7,0.3214285714285714
136,39.7,27.3,55.0,3.8,0.9,0.7,0.7,1.6,1,746.1999999999999,0.4764397905759162
137,47.9,0.0,66.7,3.4,1.0,0.4,0.2,1.1,0,335.5,0.33888888888888885
138,47.0,0.0,76.2,3.1,0.7,0.4,0.3,0.9,1,547.5,0.40782122905027934
139,49.7,0.0,72.2,5.0,0.6,0.3,0.2,0.7,0,626.4,0.5117647058823529
140,48.6,0.0,74.7,1.9,1.5,0.7,0.2,1.2,1,632.0,0.47619047619047616
141,39.5,38.5,69.2,3.4,0.2,0.2,0.4,0.4,0,82.5,0.3173076923076923
142,48.5,50.0,88.5,1.3,2.5,0.6,0.1,1.0,1,453.59999999999997,0.3522012578616352
143,46.6,0.0,62.1,3.6,0.4,0.4,0.4,1.1,1,296.1,0.33571428571428574
144,47.9,16.7,73.6,4.3,0.3,0.6,0.9,1.3,1,526.5,0.47101449275362317
145,43.7,0.0,64.3,2.8,0.8,0.2,0.2,0.8,1,323.3,0.40151515151515155
146,40.6,14.3,68.0,1.2,1.9,0.3,0.1,0.8,0,197.79999999999998,0.3538461538461538
147,36.9,7.1,56.2,3.1,0.4,0.4,0.1,0.8,1,236.5,0.3333333333333333
148,54.7,25.0,67.1,2.1,0.6,0.6,0.2,0.5,0,241.89999999999998,0.33064516129032256
149,45.9,0.0,77.7,2.1,0.7,0.5,0.1,1.2,1,389.40000000000003,0.5221238938053098
150,40.5,26.4,70.3,6.2,6.3,1.9,0.6,3.5,0,1169.0,0.4840579710144927
151,42.9,28.6,66.0,0.7,2.3,0.3,0.0,1.1,0,269.5,0.3181818181818182
152,29.8,23.3,69.4,0.9,1.8,0.5,0.1,1.4,0,144.29999999999998,0.35779816513761464
153,38.4,18.8,66.1,0.9,2.5,0.5,0.0,1.1,1,207.70000000000002,0.3069306930693069
154,43.0,0.0,50.0,2.9,0.5,0.2,0.3,0.4,0,79.8,0.19387755102040813
155,47.3,35.7,67.0,1.5,0.9,0.6,0.0,0.8,0,260.0,0.5306122448979592
156,47.6,7.1,82.8,1.5,1.2,0.1,0.0,0.8,0,325.0,0.5263157894736842
157,47.6,7.1,82.8,1.5,1.2,0.1,0.0,0.8,1,325.0,0.5263157894736842
158,54.2,0.0,48.5,5.9,0.8,0.7,0.6,1.3,0,565.8000000000001,0.3254716981132076
159,54.2,0.0,48.5,5.9,0.8,0.7,0.6,1.3,1,565.8000000000001,0.3254716981132076
160,31.3,32.5,78.9,1.0,1.0,0.4,0.1,0.8,1,118.80000000000001,0.2872340425531915
161,47.5,0.0,61.5,1.4,0.6,0.5,0.2,0.7,0,154.79999999999998,0.4886363636363636
162,44.4,0.0,69.7,1.2,1.7,0.6,0.1,0.6,1,174.0,0.33333333333333337
163,44.4,0.0,69.7,1.2,1.7,0.6,0.1,0.6,1,174.0,0.33333333333333337
164,44.4,0.0,69.7,1.2,1.7,0.6,0.1,0.6,0,174.0,0.33333333333333337
165,49.5,0.0,72.5,6.5,1.5,1.0,1.3,2.1,1,1157.3,0.5361842105263158
166,49.5,0.0,72.5,6.5,1.5,1.0,1.3,2.1,1,1157.3,0.5361842105263158
167,49.5,0.0,72.5,6.5,1.5,1.0,1.3,2.1,0,1157.3,0.5361842105263158
168,39.2,31.9,54.5,0.8,0.6,0.3,0.2,0.8,1,119.0,0.4069767441860465
169,39.2,31.9,54.5,0.8,0.6,0.3,0.2,0.8,1,119.0,0.4069767441860465
170,39.2,31.9,54.5,0.8,0.6,0.3,0.2,0.8,0,119.0,0.4069767441860465
171,49.4,0.0,60.9,2.4,0.4,0.2,0.1,0.9,0,202.5,0.5421686746987951
172,38.0,33.0,90.3,3.0,5.7,0.6,0.1,1.9,0,896.0,0.3962848297213623
173,36.8,25.0,61.5,1.2,0.4,0.3,0.1,0.4,0,114.0,0.2597402597402597
174,39.3,27.3,81.3,1.3,0.3,0.2,0.1,0.6,1,135.20000000000002,0.35616438356164387
175,55.3,0.0,46.4,2.1,0.1,0.2,0.3,0.6,1,96.89999999999999,0.29230769230769227
176,43.5,40.0,88.9,0.7,0.3,0.2,0.2,0.6,0,115.5,0.532258064516129
177,23.8,16.7,76.5,0.6,1.3,0.3,0.0,0.5,0,52.800000000000004,0.1929824561403509
178,33.3,0.0,50.0,1.1,0.1,0.1,0.3,0.1,0,14.7,0.14285714285714285
179,33.8,28.6,80.0,0.6,0.3,0.1,0.0,0.6,0,72.0,0.46511627906976744
180,37.5,25.0,69.2,1.1,0.0,0.1,0.4,0.3,0,46.2,0.5365853658536587
181,46.8,36.7,81.0,5.9,4.2,1.0,0.2,3.4,1,1738.0,0.6395348837209303
182,49.8,19.0,77.5,5.1,4.6,1.9,0.8,3.2,1,1506.6000000000001,0.5502958579881657
183,41.9,32.7,78.0,4.1,4.1,1.6,0.5,3.2,0,1104.0,0.4437299035369775
184,45.5,42.8,83.1,2.8,3.0,1.5,0.5,2.0,1,1192.8999999999999,0.46319018404907975
185,42.5,27.0,74.6,3.3,4.4,1.8,0.3,3.1,1,1090.2,0.4646464646464647
186,48.6,0.0,74.9,6.7,1.8,1.5,0.6,2.5,1,975.8000000000001,0.4006734006734007
187,41.4,31.4,79.5,2.5,2.3,0.9,0.3,1.5,1,1267.5,0.5709459459459458
188,43.3,0.0,82.6,4.6,5.8,0.9,0.3,2.3,1,705.1999999999999,0.3060498220640569
189,45.7,36.6,71.7,5.2,1.6,1.3,0.8,2.5,1,1071.6,0.5108695652173912
190,43.5,22.7,73.5,3.4,7.1,2.0,0.1,3.6,1,844.9,0.43911439114391143
191,43.2,24.8,74.5,2.6,3.8,1.1,0.1,2.3,1,924.3,0.44827586206896547
192,37.6,32.0,80.4,2.9,1.0,0.6,0.2,1.2,0,721.6,0.32958801498127344
193,41.9,32.9,61.4,3.9,2.4,1.2,0.3,0.9,1,464.4,0.3426294820717131
194,42.0,25.0,67.3,5.2,2.1,0.7,0.5,1.9,0,440.0,0.3603603603603604
195,45.0,40.6,78.9,3.1,1.3,0.6,0.3,1.3,0,704.0,0.5
196,49.0,0.0,80.3,2.2,3.4,1.1,0.1,1.6,0,454.40000000000003,0.3033175355450237
197,41.7,14.3,69.5,2.5,4.3,1.2,0.1,2.3,0,205.20000000000002,0.28078817733990147
198,50.1,0.0,57.1,4.5,1.0,1.0,0.3,1.2,0,481.0,0.4
199,47.5,30.0,85.0,2.1,2.6,0.8,0.2,1.0,1,568.0,0.3641025641025641
200,46.7,20.0,69.2,1.5,3.7,0.8,0.1,1.7,0,217.6,0.35233160621761656
201,43.7,20.8,78.3,3.2,1.0,0.6,0.1,1.7,0,753.3000000000001,0.48947368421052634
202,43.4,22.5,78.6,2.3,1.5,0.5,0.1,1.6,1,920.0,0.6318681318681318
203,46.4,0.0,59.6,2.3,1.1,0.5,0.4,0.4,1,397.59999999999997,0.3333333333333333
204,46.7,32.2,74.5,2.0,3.9,1.2,0.0,1.8,1,720.9,0.5297619047619048
205,42.0,35.9,88.4,1.1,3.7,0.8,0.0,0.8,1,426.40000000000003,0.31137724550898205
206,44.3,0.0,57.8,2.1,0.9,0.7,0.1,1.4,0,122.39999999999999,0.3469387755102041
207,48.8,0.0,68.9,3.6,0.3,0.2,0.2,0.7,0,357.5,0.3793103448275862
208,48.6,0.0,58.0,3.2,0.6,0.4,0.1,0.7,1,280.0,0.34965034965034963
209,43.1,0.0,69.2,1.9,0.2,0.1,0.1,0.3,1,57.6,0.2285714285714286
210,44.5,0.0,72.5,2.2,0.8,0.4,0.3,0.9,0,244.79999999999998,0.3582089552238806
211,54.5,0.0,69.9,2.7,0.2,0.1,0.3,0.9,1,322.5,0.41346153846153844
212,42.6,0.0,38.4,3.7,1.1,0.4,0.1,0.9,1,259.2,0.47058823529411764
213,53.7,25.0,61.5,2.1,0.3,0.3,0.5,0.6,1,254.2,0.4141414141414141
214,30.1,7.1,78.1,1.1,2.6,0.3,0.1,1.1,1,139.4,0.17894736842105263
215,36.6,29.4,60.9,0.5,2.2,0.5,0.1,1.0,0,116.60000000000001,0.23404255319148937
216,40.2,16.7,83.3,0.9,2.3,0.5,0.2,1.3,0,136.29999999999998,0.30851063829787234
217,40.8,38.5,65.4,1.1,0.8,0.6,0.1,1.1,1,147.6,0.46590909090909083
218,51.3,0.0,65.0,2.4,0.1,0.3,0.8,0.5,1,161.20000000000002,0.3058823529411765
219,49.0,0.0,67.4,1.3,0.5,0.5,0.2,0.5,0,129.5,0.4216867469879518
220,49.4,0.0,50.0,2.6,0.4,0.3,0.3,0.5,1,186.0,0.3827160493827161
221,40.4,25.0,81.3,0.9,1.5,0.5,0.1,0.7,1,112.2,0.275
222,43.0,10.0,69.0,1.3,0.5,0.3,0.1,0.5,1,168.0,0.5063291139240506
223,48.0,10.0,82.4,1.1,0.4,0.4,0.1,0.4,1,125.39999999999999,0.48717948717948717
224,48.0,10.0,82.4,1.1,0.4,0.4,0.1,0.4,0,125.39999999999999,0.48717948717948717
225,36.9,30.8,63.8,2.2,0.8,0.7,0.4,1.2,1,188.1,0.32999999999999996
226,36.9,30.8,63.8,2.2,0.8,0.7,0.4,1.2,0,188.1,0.32999999999999996
227,41.8,24.4,60.0,1.8,0.8,1.0,0.4,1.1,0,127.19999999999999,0.3045977011494253
228,46.0,40.1,71.2,3.2,0.9,0.7,0.2,0.8,0,462.0,0.2654867256637168
229,41.5,0.0,73.8,1.3,0.6,0.3,0.0,0.5,0,180.0,0.3424657534246575
230,36.4,22.2,66.0,0.6,1.4,0.3,0.1,0.9,1,127.4,0.35616438356164387
231,50.4,40.0,70.6,1.1,0.4,0.3,0.1,0.7,0,151.79999999999998,0.4852941176470588
232,34.9,11.1,56.3,0.6,1.7,0.5,0.1,0.4,1,68.8,0.23529411764705885
233,31.9,20.0,77.3,0.7,1.1,0.3,0.1,0.8,0,66.5,0.31666666666666665
234,47.4,0.0,78.3,1.4,0.2,0.2,0.0,0.5,1,112.2,0.3859649122807018
235,42.2,0.0,68.2,1.0,0.2,0.2,0.1,0.3,1,98.39999999999999,0.4285714285714286
236,43.2,25.4,77.4,4.8,10.6,2.5,0.1,3.1,1,1115.2,0.3434343434343434
237,47.7,30.8,81.9,2.3,7.1,1.5,0.1,3.0,1,841.8000000000001,0.38764044943820225
238,43.7,29.0,65.6,2.6,3.2,0.6,0.3,1.0,0,417.6,0.3185840707964602
239,47.5,0.0,67.9,7.9,1.3,1.1,0.5,2.2,1,814.0,0.4498480243161095
240,43.9,33.3,87.9,3.4,6.4,1.7,0.1,2.5,1,830.8000000000001,0.3911671924290221
241,40.7,20.0,83.3,4.5,2.3,0.9,0.4,1.8,1,319.2,0.28044280442804426
242,35.6,22.4,72.7,3.4,1.7,0.8,0.6,1.8,1,364.0,0.4244897959183674
243,35.6,22.4,72.7,3.4,1.7,0.8,0.6,1.8,1,364.0,0.4244897959183674
244,50.1,20.0,60.4,6.3,1.0,0.7,1.5,1.7,1,959.4,0.4834710743801653
245,46.1,20.8,83.9,2.4,5.5,1.3,0.3,1.8,1,736.0,0.3833333333333333
246,50.1,0.0,62.6,5.5,1.1,0.6,0.7,1.1,1,623.7,0.3407079646017699
247,48.8,35.5,80.1,2.3,1.6,0.7,0.2,1.2,1,820.0,0.44642857142857145
248,40.4,26.7,74.0,2.3,1.9,0.9,0.4,1.9,1,585.6,0.4285714285714286
249,48.2,0.0,51.2,4.0,1.2,0.7,0.5,1.6,1,567.6,0.39631336405529954
250,42.3,33.8,81.5,3.7,1.6,0.5,0.8,0.8,0,472.0,0.3603603603603604
251,46.3,17.4,57.6,3.8,2.1,1.1,0.7,1.7,1,624.1,0.3779904306220096
252,49.1,36.7,77.2,4.0,1.3,0.8,0.8,1.3,1,697.0,0.40865384615384615
253,39.0,18.8,78.4,1.7,5.1,1.6,0.0,1.3,1,395.0,0.24271844660194172
254,42.8,0.0,72.5,4.2,1.4,0.7,0.3,1.4,1,631.8,0.39512195121951216
255,39.1,38.5,72.5,1.1,2.9,1.0,0.1,1.0,0,124.80000000000001,0.29714285714285715
256,45.9,0.0,87.1,4.5,0.8,0.3,0.1,0.9,1,222.3,0.34545454545454546
257,43.0,0.0,70.7,2.9,0.9,0.5,0.9,1.6,0,420.0,0.3733333333333333
258,53.2,0.0,64.0,3.4,0.5,0.4,0.3,0.7,1,284.40000000000003,0.24657534246575344
259,37.4,24.0,71.9,1.0,3.1,0.3,0.1,1.0,0,156.60000000000002,0.20610687022900764
260,44.6,0.0,72.2,0.6,1.2,0.4,0.0,1.0,0,259.7,0.4453781512605042
261,49.6,23.1,80.6,2.0,0.7,0.3,0.6,0.8,1,294.0,0.4077669902912621
262,42.2,20.0,89.7,0.7,1.5,0.1,0.1,0.6,0,152.0,0.39999999999999997
263,47.4,0.0,56.3,2.6,0.4,0.2,0.3,0.6,1,170.5,0.3333333333333333
264,47.0,0.0,73.5,0.7,1.7,0.6,0.0,0.9,0,147.5,0.2873563218390805
265,40.4,0.0,81.0,0.6,2.0,0.4,0.0,0.9,0,105.6,0.2891566265060241
266,46.6,0.0,70.2,1.3,0.5,0.3,0.3,0.6,1,220.5,0.5421686746987951
267,38.5,0.0,44.4,1.9,0.4,0.2,0.3,0.5,0,48.400000000000006,0.14473684210526316
268,36.7,0.0,66.7,1.7,0.5,0.1,0.3,0.6,0,77.89999999999999,0.2878787878787879
269,37.5,28.6,61.5,0.4,0.6,0.2,0.0,0.5,1,46.800000000000004,0.20634920634920637
270,37.7,37.3,74.4,1.8,2.7,0.5,0.2,0.9,0,279.0,0.31155778894472363
271,31.0,0.0,60.4,1.0,0.3,0.3,0.1,0.4,0,85.0,0.27419354838709675
272,45.5,21.3,68.4,4.8,4.8,2.5,1.0,4.2,1,1877.8,0.6122994652406417
273,46.8,35.5,74.7,8.3,3.6,1.1,0.2,2.6,1,1541.6000000000001,0.5222222222222223
274,48.5,0.0,74.5,7.9,1.9,0.7,2.1,1.7,1,1168.0,0.4306784660766962
275,53.8,0.0,69.6,8.1,3.8,0.6,0.8,3.1,1,1256.0,0.46587537091988124
276,47.5,0.0,61.7,4.7,8.2,1.8,0.6,2.2,1,376.3,0.19064748201438847
